X,Y,Aedes.albopictus_AllData_RUN5 logistic values
4164346.36398261,2341683.96433401,0.09887937
4206481.85265154,2461575.53369286,0.26298705
4344043.98372289,2360767.52120876,0.055124134
4172939.6989476,2386291.51885051,0.18686128
4132727.46198224,2327092.40845534,0.10162233
4347430.42198858,2362153.49228113,0.05779595
4391536.80945814,2396097.30793007,0.1837633
4320583.99730909,2341281.70260307,0.381004
4102957.23434016,2351304.25514378,0.0025176664
4252827.72648966,2490330.25106936,0.44577286
4383536.8024482,2447950.64865427,0.38627818
4244855.70664968,2408699.59090196,0.20026912
4406313.09918298,2583010.46138941,0.20248003
4359217.53427033,2474139.56550643,0.69808745
4605596.35006036,2269462.51996871,0.0033482916
4222990.2483868,2417518.38084106,4.8858037E-13
4546772.23954301,2259002.79530194,0.026250448
4159632.34448599,2558681.86025503,0.027291523
4229406.94361997,2483034.96773551,0.28566644
4501259.72675236,2660430.37110938,0.0015881247
4581189.04687153,2570069.6405063,0.1903993
4381676.34196103,2430850.66411321,2.9458645E-6
4432663.82892524,2412946.46570946,0.13240354
4412026.83005947,2439812.3395413,0.22796102
4395445.94232019,2230892.16300025,0.10857317
4573360.01502861,2263323.71347927,0.03142304
4546573.81138988,2624342.47852663,0.04631919
4124395.60143043,2548076.58432836,0.013164864
4062048.57945296,2292850.81443016,0.569046
4267086.02652349,2390401.57839795,0.1465358
4173697.55580455,2435280.29025465,0.20113024
4451906.92508383,2567670.48391921,0.051210254
4504164.05471881,2603631.25038248,0.05052651
4076732.32344584,2351432.81211695,0.07561226
4055224.82729591,2277415.0282582,4.0980533E-10
4455555.29359566,2497234.54923091,0.6075846
4384395.81637216,2428322.12321161,0.3661504
4282985.54220878,2660405.21938721,0.07253224
4069895.28662775,2477222.25766568,0.018258192
4486000.93809386,2600034.55654953,0.031178879
4231637.21202945,2556621.98321719,0.098149
4500925.25377665,2331802.36034398,0.049773004
4101261.31242265,2351891.9522074,0.002623376
4286517.34155425,2521699.41844852,0.37281245
4320403.63319119,2405120.76026058,0.17598733
4452178.96008703,2352655.00520948,0.8412945
4193972.35883424,2607053.95744329,0.009823356
4309584.4927543,2337939.38337803,1.033677E-7
4432560.5308298,2547893.23402013,0.23274766
4521280.16820738,2250824.73901876,0.10867992
4253385.94447205,2464257.73888354,0.18198006
4384469.40425134,2537575.80464694,0.19685207
4528583.99580154,2561541.25613517,0.2976494
4131744.96492334,2613706.55194698,0.025643049
4124443.87495081,2609624.32673964,0.009964641
4301484.24671648,2608653.32827295,0.011042672
4143074.3795107,2324531.24926852,0.114129715
4377800.61012484,2454607.50571781,0.20724411
4455384.82291344,2597088.02730688,0.02799774
4234433.36763414,2427720.49855804,3.3739618E-9
4290040.93249706,2634884.93431239,0.013288821
4521777.70278417,2614262.5152935,0.024641065
4099916.02163967,2506234.49348605,0.008899953
4328735.5522668,2394798.27232492,0.16018812
4207194.34552726,2644558.10577496,0.008392149
4181633.96489158,2435845.52853602,0.15979978
4312007.19168708,2386237.40679338,0.106084846
4295689.8116226,2355432.44967422,0.30746186
4155378.61597508,2629014.33243064,0.006721791
4057470.6209664,2627621.88047815,0.18285936
4151547.86793986,2584066.17585576,0.004715535
4164519.70658491,2363100.18664536,0.24097277
4546997.74388331,2611461.12911386,0.017000165
4084348.19477006,2370586.6757953,0.019839756
4616369.02360222,2590656.62309223,0.03414665
4530310.75277887,2592116.83691384,0.035366178
4619021.9923264,2486010.01291195,0.27490866
4323016.43026898,2560918.93749086,0.40323523
4510624.82717315,2244001.46583738,0.30994916
4228638.98110344,2621516.20724586,0.0014402892
4102279.72962405,2509396.11183152,0.030218063
4121658.65500482,2392783.58082269,0.2792484
4444143.32137483,2594876.98919951,0.021278389
4606536.54485729,2251550.97540581,1.8754831E-4
4470304.11529057,2588874.1297928,0.028952047
4132783.70272593,2572152.40762,0.018388817
4471194.55651506,2347133.85407025,0.13343331
4594904.80892953,2647629.79091596,0.017625703
4179421.01128408,2592303.87200593,0.008976474
4122969.83247844,2546759.40778583,0.005042505
4285113.46294735,2544452.12685815,0.05734091
4577889.98314804,2526323.89292407,0.22209795
4633046.8789768,2449389.32287186,0.27544314
4113449.18897045,2299914.1317934,0.2748818
4406509.42838692,2255224.435928,0.24138215
4455771.93108044,2309424.91031541,0.08170262
4548225.45169889,2608559.27308225,0.047230564
4356639.10190679,2443268.23972001,0.6880529
4483382.62477983,2270390.65837033,0.21223967
4225937.79871291,2598551.45553343,0.056098435
4386316.00599611,2622346.95990295,0.01182431
4121584.24341124,2317886.326418,0.55064386
4145858.66252786,2561235.92787933,0.014256047
4558098.16979356,2591397.17718884,0.1288164
4219594.07684586,2431532.62776511,0.14381784
4340739.68005762,2431871.02527915,0.15653317
4254299.18742255,2599900.9518309,0.014598238
4201409.05480372,2400569.84463228,0.14695948
4078531.41256297,2656493.04769069,0.05373033
4535734.38535207,2593323.88316046,0.17054224
4428458.18140032,2313359.87617904,0.23504739
4495293.99759373,2375745.01172342,0.15396044
4339605.37603717,2465233.93644744,0.14240696
4496499.65668118,2295399.42350335,0.054876197
4434519.2930176,2295242.32530554,0.29732218
4303451.62317884,2442307.00761707,0.3624429
4239514.29520965,2482191.78867548,0.32790565
4211633.53177486,2562627.42173971,0.08572669
4553073.86693672,2539486.12405669,0.37504458
4408171.87712504,2405364.28606482,0.16321659
4070499.23934331,2461263.18752752,0.008617865
4632414.56835449,2605473.82455609,0.0176934
4408154.06234079,2403215.57464149,0.22627722
4527636.50018639,2519180.57494384,0.15372296
4446341.80125873,2418701.82247585,0.9183126
4602278.53402483,2659379.61574086,0.006777105
4156950.99703306,2410853.58823042,0.25830173
4607829.68239622,2643173.0199666,0.015945544
4520392.4531185,2635942.19251046,0.005266621
4152480.11605106,2478279.59962707,0.3725869
4500025.78571008,2624530.75941199,0.01766702
4435320.04326634,2316718.43297612,0.33806744
4423992.74080331,2652492.528777,0.016658628
4081556.90547671,2551484.31507163,0.0041508586
4383864.12083349,2603395.86336894,0.017003408
4581149.57901879,2584164.41702762,0.076052144
4416475.62223079,2540126.64272297,0.2212458
4503970.91002014,2342516.82432832,0.07703669
4377073.99503244,2300740.29876647,0.0012064704
4475871.75075555,2415631.47492012,0.16717184
4478600.3688337,2628673.31267695,0.03666871
4575699.58867757,2650667.08679146,0.0020549146
4172982.80180581,2339335.08530099,0.22141476
4347058.35164462,2507579.62333957,0.327414
4336239.16829604,2497682.06341802,0.5368716
4158696.1956613,2560570.37635948,0.022786023
4180737.75501029,2509642.43768218,0.12313834
4227701.38878377,2540071.32203708,0.41304842
4368083.15041025,2616283.38844548,0.030233962
4558023.80473162,2532441.57985639,0.20628847
4379605.09358086,2561927.84008245,0.16034022
4556605.5447642,2276372.76439282,0.112926155
4147444.64492798,2607222.9058325,0.007953307
4577137.43045148,2255519.15587357,0.021638047
4237851.00072993,2506051.63332542,0.42388043
4260002.76405917,2522035.50295002,0.16664326
4624701.59794917,2425494.89399267,0.21815893
4194386.65223065,2507930.44669678,0.32421312
4243716.28334243,2414019.27947417,0.18753186
4446569.71112223,2650660.63519558,0.0056829243
4128451.37153763,2538708.06021944,0.027510425
4586266.78701475,2254846.00097171,0.83378
4396338.03398598,2570992.36514661,0.024603885
4111642.43440848,2501388.47690399,0.09407089
4576758.90304354,2649307.95765814,0.0043719835
4287781.51822411,2653684.79878746,0.031312484
4356401.33762941,2349205.49333415,0.022830483
4551103.43413226,2587300.12837674,0.19410196
4468566.40512704,2628746.02700999,0.021652376
4112232.21494464,2345268.9559909,0.0075122723
4471373.04966663,2644606.75892216,0.017213764
4311905.43069417,2382183.50839642,0.1325407
4419336.49191442,2364260.9580562,0.11134001
4277161.05696734,2379608.31141434,0.20853813
4284136.86810037,2464897.59413339,0.114622675
4246864.87582719,2368166.06702457,0.22063717
4351335.02200736,2423824.53184173,4.7629923E-4
4253366.99708964,2609545.7161201,0.006764084
4534370.87955083,2294191.56664675,0.044943385
4089857.30068656,2609126.82262631,0.0235358
4187821.80563451,2512003.22977722,0.41690916
4466436.43421267,2306591.84646291,0.044438697
4231167.08813564,2521604.33964538,0.321262
4203584.60210764,2369535.08727269,0.09862038
4525164.90837009,2254359.08066942,0.13234648
4094499.73033506,2348508.70971508,0.021439873
4540104.71072658,2603730.47386321,0.20598407
4429991.49650747,2446240.10359786,0.14938237
4224714.44591807,2412289.68894607,8.004259E-14
4486389.54835348,2519265.91109654,0.5817209
4342978.53784646,2405154.20391705,2.3301472E-10
4440811.51324631,2333211.94785859,0.07450348
4147244.23958268,2541005.45432287,0.087174244
4160605.4875142,2457850.26088515,0.19017097
4278162.22216157,2500282.95582622,0.3476871
4375089.63845271,2644731.79006637,0.018912252
4216157.62207465,2409771.88826902,0.66421115
4602888.01422807,2614350.01224756,0.08992535
4211528.95401543,2654329.10129699,0.059619866
4123258.12305454,2409284.60997767,0.20996958
4142419.74740278,2448111.30751338,0.80836266
4158954.39645313,2502345.71435789,0.027180796
4527865.58369278,2496226.3661208,0.1777183
4609352.23004772,2541140.2991055,0.38828576
4353740.40472196,2398065.15967604,0.16025347
4554360.54168918,2270320.6943732,0.04398456
4236175.35776695,2449505.72042019,0.13702391
4180929.94710771,2353168.3862151,0.1490164
4341048.98791163,2435134.91647156,0.09576927
4483046.6817701,2643682.64873994,0.004417048
4265838.63503971,2657262.33653164,0.0034577027
4251798.63642057,2543141.28930963,0.3951981
4525105.61657676,2638193.08895405,0.0058409045
4301054.20106925,2535578.26674623,0.050211586
4174728.54555954,2343980.03527889,0.086203136
4144760.45738412,2345027.60647808,0.0038461483
4466820.91707868,2481053.21238214,0.37256768
4512699.95422562,2622019.09112149,0.009703373
4506318.16126006,2562525.83785108,0.30022123
4074442.00609053,2360203.18025094,0.016482912
4261015.41557381,2653559.81526941,0.0023616457
4549777.10086308,2623564.70065623,0.05962151
4087451.72871718,2364718.57080694,0.006766514
4122752.1355304,2646043.67534408,0.109316215
4585009.39560934,2248515.92406832,0.25904238
4167886.61439703,2645959.70454481,0.013838216
4421605.90230843,2468784.8252414,0.180137
4634584.19707918,2549250.72069226,0.15234695
4522671.04932,2641542.65189536,0.0051851626
4201469.98062935,2560661.24058075,0.1072213
4436014.66203176,2618465.42069077,0.017681418
4480099.46580136,2509928.26794683,0.3491645
4421452.52998171,2558849.14280854,0.049136963
4274268.83821927,2538751.65238476,0.071922235
4494821.21659056,2401738.81349856,0.199668
4417680.78813156,2505529.90293825,0.31051013
4083099.98870717,2328865.2673497,0.22266413
4224773.59469565,2509153.73349404,0.41275448
4487448.19510862,2498954.90829615,0.16144785
4322540.65556357,2536067.36618453,0.06502874
4481652.00324201,2436485.72880132,0.18253772
4094312.23008419,2387591.75450748,0.031636775
4244691.05333339,2544192.07859373,0.44612145
4162254.97710746,2376611.37061753,0.22636451
4477230.2059201,2582918.17770912,0.044269886
4611741.29866481,2242402.36833562,0.0013082348
4440036.76222594,2497547.12422404,0.18004966
4376174.9952405,2242968.38592343,3.217396E-5
4507884.45832416,2546850.60133751,0.12598056
4491152.09725766,2274809.22667419,0.21965666
4349731.63078608,2297392.66847873,4.5860517E-8
4099769.95046591,2436710.87273271,0.014417814
4605238.26098659,2581752.53154035,0.030780777
4217437.52709545,2474170.51532033,0.23089969
4180174.46904865,2561329.37795841,0.015241265
4097528.81526896,2350902.90918773,0.007755556
4540276.37607825,2263257.25839107,0.037651055
4401704.01999414,2596937.23090362,0.024564588
4537224.78465556,2309333.99612366,0.021608565
4272313.91677287,2573579.30604635,0.19783239
4450352.46165152,2542218.92350351,0.3158498
4096639.3674337,2519002.39065423,0.026514059
4458367.14352296,2416074.20758101,0.18115996
4115560.86530273,2636872.72364195,0.083659045
4494275.00823554,2415825.42681087,0.16667566
4067233.65243064,2560291.33844674,0.030162398
4069228.16022675,2585427.33998256,0.011816423
4073369.14490681,2427634.56891796,0.027901083
4297629.7692653,2525806.0368581,0.43751773
4624503.07570593,2534251.26480951,0.35292754
4306587.54341256,2360711.80058245,0.12999962
4557674.03847695,2573709.77202391,0.57410455
4282065.09634822,2538998.35475406,0.0610983
4545880.44750985,2594561.19959163,0.2544805
4194332.4830716,2469164.66452596,0.24851348
4404865.66013183,2530552.03648707,0.4134592
4137637.17971174,2463349.30430355,0.2985389
4245712.97488829,2424018.75676605,0.17809162
4464452.99431617,2250360.75039833,0.29595476
4400562.04708655,2320398.48746324,0.14245676
4352580.96485253,2444148.01344125,0.109512046
4090999.50692787,2410494.03091003,0.018872978
4287034.87773698,2394492.81824085,0.10397832
4340931.85413568,2573553.46710507,0.17518277
4165678.39350472,2415137.8183581,0.1846771
4295715.03212971,2440062.21650053,0.1549909
4163369.6439351,2376189.01690637,0.2427713
4399574.61781943,2535134.81254918,0.29809296
4458331.93110965,2380106.16158226,0.017146472
4469849.20724825,2408527.705874,0.15671986
4273306.36172852,2540664.23785086,0.16254392
4392263.49518432,2471643.38013894,0.17253946
4400372.89690262,2645239.56080655,0.0012311685
4271694.29896269,2414647.95255621,0.20923208
4207234.71137692,2482994.37752761,0.2403749
4313520.57801852,2423434.25356283,0.7297253
4368416.48576474,2488625.0354127,8.5805624E-8
4228978.69059943,2500295.23694054,0.28194496
4125608.13777268,2399310.91793338,0.43874753
4577696.33395644,2240155.19010838,0.05413423
4156241.63611188,2400372.5207688,0.18850015
4373474.0099609,2330460.22177253,0.1385506
4095988.42990599,2587622.67516745,0.03091884
4589510.64775921,2616372.99864748,0.09001267
4464178.95162981,2475993.31601451,0.23028217
4098031.75075971,2576999.73187359,0.0068310094
4085149.1577045,2603274.49420041,0.037760526
4385586.91987876,2517057.17665174,0.24999636
4585793.55082034,2267088.60907291,0.72026646
4426151.67064217,2466994.49783507,0.12882824
4407502.92363863,2383312.15577373,0.020807356
4073931.04370731,2450589.61341799,0.007752935
4444194.97615171,2433858.69009713,0.17286675
4181565.93295357,2413273.63992153,0.20596284
4111224.35603584,2379402.46801817,0.09926879
4379126.45114332,2660692.10609967,0.0028051543
4395473.84159857,2476566.21494502,0.23191743
4167552.55158744,2635493.69999451,0.019487217
