Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.2511E-3,18.842726891,0.292991196,0.3225,0.161290323,0
1.25373E-3,19.093276675,0.293425445,0.32,0.161290323,0
1.2549E-3,19.344222573,0.293619097,0.3175,0.161290323,0
1.25792E-3,19.595636061,0.294118472,0.315,0.161290323,0
1.25886E-3,19.847381024,0.294273972,0.3125,0.161290323,0
1.26721E-3,20.099999986,0.295648055,0.31,0.161290323,0
1.29394E-3,20.357904888,0.300013977,0.3075,0.161290323,0
1.30256E-3,20.618389365,0.301409854,0.305,0.161290323,0
1.32019E-3,20.880996789,0.304248455,0.3025,0.161290323,0
1.32025E-3,21.013022256,0.30425844,0.30125,0.161290323,0
1.32677E-3,21.278146596,0.305301549,0.29875,0.161290323,0
1.37132E-3,21.55170945,0.312351167,0.29625,0.161290323,0
1.40812E-3,21.768398058,0.318067107,0.29375,0.161290323,0
1.41828E-3,22.116673111,0.319627609,0.29125,0.177419355,0
1.4453E-3,22.261203576,0.323746911,0.29,0.177419355,0
1.48067E-3,22.556328069,0.329061234,0.2875,0.177419355,0
1.48597E-3,22.853165832,0.32985168,0.285,0.177419355,0
1.48951E-3,23.00211724,0.330378092,0.28375,0.177419355,0
1.50148E-3,23.301744554,0.332150435,0.28125,0.193548387,0
1.51076E-3,23.603410883,0.333518717,0.27875,0.193548387,0
1.52002E-3,23.75541335,0.334879182,0.2775,0.193548387,0
1.53424E-3,24.060903276,0.336955085,0.275,0.193548387,0
1.55324E-3,24.369775027,0.339710821,0.2725,0.193548387,0
1.56513E-3,24.526288386,0.341424125,0.27125,0.193548387,0
1.56568E-3,24.839374523,0.34150328,0.26875,0.193548387,0
1.58811E-3,25.156044558,0.344707916,0.26625,0.193548387,0
1.59197E-3,25.315241334,0.345256799,0.265,0.193548387,0
1.60626E-3,25.635110739,0.34727955,0.2625,0.193548387,0
1.61921E-3,25.797032016,0.349102781,0.26125,0.193548387,0
1.62663E-3,26.051530198,0.350141389,0.25875,0.193548387,0
1.63322E-3,26.285564858,0.351063084,0.2575,0.209677419,0
1.65002E-3,26.614605623,0.353398022,0.255,0.209677419,0
1.66458E-3,26.78106315,0.355407009,0.25375,0.209677419,0
1.67509E-3,27.115241717,0.35685067,0.25125,0.209677419,0
1.68094E-3,27.283335294,0.357650842,0.25,0.209677419,0
1.6903E-3,27.621372103,0.358928566,0.2475,0.209677419,0
1.69594E-3,27.790965864,0.359694648,0.24625,0.209677419,0
1.71218E-3,28.132685724,0.36189319,0.24375,0.209677419,0
1.72652E-3,28.305338036,0.363821499,0.2425,0.209677419,0
1.73577E-3,28.652245543,0.365059214,0.24,0.209677419,0
1.74263E-3,28.826508929,0.365973977,0.23875,0.209677419,0
