Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.91122E-9,0.000000191,0.000000615,1,0,0
4.93495E-9,0.000000685,0.000001587,0.99875,0,0
5.25942E-9,0.000001211,0.000001692,0.9975,0,0
6.53061E-9,0.000002506,0.0000021,0.995,0,0
2.05967E-8,0.000011778,0.000006624,0.98625,0,0
2.72601E-8,0.000025961,0.000008767,0.97875,0,0
5.53622E-8,0.000052715,0.000017805,0.97125,0,0
9.92704E-8,0.0001077,0.000031927,0.9625,0,0
1.78064E-7,0.000267098,0.000057266,0.9475,0,0
2.85109E-7,0.000526162,0.000091689,0.93375,0,0
5.21957E-7,0.001050839,0.000167845,0.91625,0,0
1.01125E-6,0.002542415,0.000325136,0.89,0,0
2.1336E-6,0.005188827,0.000685745,0.86625,0,0
3.20758E-6,0.010211119,0.001030567,0.84375,0,0
8.78462E-6,0.02553132,0.002817375,0.81,0,0
1.36507E-5,0.050912349,0.00437119,0.7825,0,0
2.23825E-5,0.100270906,0.007147259,0.7475,0,0
4.54404E-5,0.200132753,0.01440415,0.70875,0,0
6.83592E-5,0.304627156,0.02151291,0.685,0,0
8.37207E-5,0.405142281,0.026220472,0.66875,0,0
1.07424E-4,0.509279061,0.033396157,0.655,0,0
1.47683E-4,0.610923109,0.045344432,0.645,0,0
1.59164E-4,0.703558655,0.048697778,0.6375,0,0
1.68303E-4,0.753134191,0.05135047,0.63375,0,0
1.7696E-4,0.804699353,0.053849662,0.63,0,0
1.8963E-4,0.914931146,0.057483417,0.6225,0,0
1.96363E-4,1.012119485,0.059403264,0.61625,0,0
2.19336E-4,1.115526523,0.065895032,0.61,0,0
2.34163E-4,1.206893174,0.070037363,0.605,0,0
2.45306E-4,1.303348605,0.073126673,0.6,0,0
2.59725E-4,1.400106648,0.07709358,0.595,0,0
2.69915E-4,1.510103161,0.079876558,0.59,0.016129032,0
3.20818E-4,1.752500179,0.093531484,0.58,0.032258065,0
3.6321E-4,2.029732437,0.104597755,0.57,0.032258065,0
3.87662E-4,2.25544254,0.11085892,0.5625,0.032258065,0
4.03433E-4,2.532536772,0.11485093,0.55375,0.032258065,0
4.53973E-4,2.788631558,0.127405691,0.54625,0.032258065,0
4.92371E-4,3.030990871,0.136708812,0.54,0.032258065,0
5.14844E-4,3.284954348,0.142062136,0.53375,0.032258065,0
5.42187E-4,3.552606512,0.148486659,0.5275,0.048387097,0
5.99253E-4,3.787590183,0.161589607,0.5225,0.048387097,0
6.2265E-4,4.033139465,0.166846057,0.5175,0.048387097,0
6.38678E-4,4.286897369,0.170409168,0.5125,0.048387097,0
6.59434E-4,4.547527534,0.174978097,0.5075,0.048387097,0
6.7883E-4,4.750952042,0.179202483,0.50375,0.048387097,0
6.9677E-4,5.026642745,0.183071386,0.49875,0.048387097,0
7.32774E-4,5.314874455,0.190726891,0.49375,0.064516129,0
7.44132E-4,5.537397537,0.193112304,0.49,0.064516129,0
7.55382E-4,5.76278644,0.195461184,0.48625,0.064516129,0
7.64866E-4,6.068251477,0.197430673,0.48125,0.064516129,0
