X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
4293637.33739542,2512320.47273348,train,0.0,0.0,0.0
4349784.89991101,2408135.90992422,train,1.5816043109666428E-106,1.583689167592334E-104,3.18561347192092E-106
4488717.00100696,2560160.23462593,train,0.0,0.0,0.0
4322481.19923334,2447099.9695185,train,4.4829517038586957E-32,4.4888610906108925E-30,9.029408457450961E-32
4325211.19064204,2446021.19929051,train,7.171609372230622E-52,7.181062923420948E-50,1.4444811052373287E-51
4473063.68332616,2478305.96256181,train,2.591601637368585E-57,2.595017863416627E-55,5.2199156467953E-57
4358668.62499714,2464678.88310534,train,1.6119389302670132E-215,1.6140637737159555E-213,3.2467124277335727E-215
4339275.44770158,2496855.86038352,train,1.6084178988160452E-123,1.6105381008728904E-121,3.239620486248913E-123
4452423.99719797,2422626.74042147,train,0.0,0.0,0.0
4386205.05252934,2530864.49867524,train,0.0,0.0,0.0
4618089.54357813,2499776.78987638,train,8.72066623389481E-276,8.732161737954903E-274,1.756486856174679E-275
4427888.09302467,2251074.85008215,train,1.2361775367429003E-297,1.2378070548911113E-295,2.4898666420094604E-297
4342882.72889908,2441319.35297051,train,1.2393646727493443E-264,1.2409983921516705E-262,2.496286062675282E-264
4141533.33324387,2462190.33330871,train,0.0,0.0,0.0
4473068.10796323,2478295.19847806,train,2.591601637368585E-57,2.595017863416627E-55,5.2199156467953E-57
4080194.80327547,2280406.60454289,train,Infinity,100.0,NaN
4618106.5358613,2499781.54726151,train,8.72066623389481E-276,8.732161737954903E-274,1.756486856174679E-275
4473071.49361883,2478297.83982242,train,2.591601637368585E-57,2.595017863416627E-55,5.2199156467953E-57
4103689.80808498,2318337.57718849,train,0.0,0.0,0.0
4473069.8566333,2478306.90022444,train,2.591601637368585E-57,2.595017863416627E-55,5.2199156467953E-57
4292489.6982611,2415461.61683961,train,1.2395171202888367E-196,1.241151040646143E-194,2.4965931173110093E-196
4290340.19376154,2460959.87064291,train,0.0,0.0,0.0
4525181.0785148,2323484.87700894,train,1.5182974163788263E-94,1.5202988224235358E-92,3.058102883548049E-94
4318617.78270723,2398755.14547656,train,0.0,0.0,0.0
4394259.8441271,2381459.61457024,train,3.861453653655134E-105,3.866543787248474E-103,7.777608277233314E-105
4476756.68263732,2363076.76314988,train,2.1551168816294113E-110,2.157957737384956E-108,4.340762935507483E-110
4362357.31752338,2388916.32762472,train,1.3874990026712477E-113,1.3893279914194454E-111,2.7946531787618457E-113
4091058.65890571,2289435.55785402,train,Infinity,100.0,NaN
4473057.74088617,2478308.36127051,train,2.591601637368585E-57,2.595017863416627E-55,5.2199156467953E-57
4473061.91041136,2478311.02299832,train,2.591601637368585E-57,2.595017863416627E-55,5.2199156467953E-57
4316373.88625815,2578538.19142439,train,0.0,0.0,0.0
4439230.56211116,2230291.20828075,train,1.4058840179254674E-94,1.4077372416359755E-92,2.831683649575066E-94
4364951.11700719,2241495.72664611,train,Infinity,100.0,NaN
4318597.54398776,2345524.76848167,train,0.0,0.0,0.0
4473372.32831078,2269839.09991177,train,2.0569315004870458E-83,2.0596429291532727E-81,4.1430012888402176E-83
4580476.51974302,2269028.85748367,train,4.213857979856936E-89,4.219412649674229E-87,8.487409054410983E-89
4420132.01624708,2305318.55505032,train,0.0,0.0,0.0
4356358.96892909,2323454.35535248,train,0.0,0.0,0.0
4533513.06859391,2290496.33255223,train,5.0064758238709865E-244,5.0130753154254704E-242,1.0083872888296756E-243
4485661.04001564,2327820.12460913,train,3.708477573239035E-62,3.713366055134402E-60,7.4694890724005055E-62
4372921.33024821,2262611.7719423,train,0.0,0.0,0.0
4389504.57897495,2451292.97802949,train,0.0,0.0,0.0
4322573.44073612,2456441.6630607,train,0.0,0.0,0.0
4228434.9524978,2525987.77804942,train,0.0,0.0,0.0
4094046.52728758,2316534.02534128,train,0.0,0.0,0.0
4347477.46895147,2518648.67890838,train,0.0,0.0,0.0
4462159.63044831,2477008.48430306,train,0.0,0.0,0.0
4404058.01307618,2481443.87083935,train,2.1241526184619277E-75,2.1269526574033192E-73,4.2783957724879583E-75
4492980.75178849,2524470.15264624,train,0.0,0.0,0.0
4189451.97674959,2557834.13967788,train,1.7421810268245087E-212,1.744477554237682E-210,3.509041617485973E-212
4302584.42642844,2346661.33942496,train,0.0,0.0,0.0
4126461.34772195,2375309.25569212,train,0.0,0.0,0.0
4414670.51161624,2554872.37872747,train,0.0,0.0,0.0
4225993.01172753,2568219.04283096,train,0.0,0.0,0.0
4210019.89595971,2497447.56441742,train,0.0,0.0,0.0
4526880.55958804,2557791.67155364,train,0.0,0.0,0.0
4115491.71263426,2453377.61779892,train,0.0,0.0,0.0
4243654.02548858,2436978.1196776,train,3.6566958848504205E-93,3.661516108588309E-91,7.365192161355313E-93
4178412.74351878,2414891.69400259,train,6.93024241088001E-179,6.9393777943054246E-177,1.3958657949208573E-178
4624957.3294705,2455426.47384029,train,8.35447031053473E-134,8.36548309841112E-132,1.6827289219853484E-133
4309314.4442123,2516380.09790216,train,0.0,0.0,0.0
