Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.18327E-3,17.753081097,0.271430493,0.3225,0.225806452,0
1.19496E-3,18.068325622,0.273379712,0.32,0.241935484,0
1.20164E-3,18.308419642,0.274488615,0.3175,0.241935484,0
1.20356E-3,18.549122391,0.274806473,0.315,0.241935484,0
1.20926E-3,18.79077231,0.27574876,0.3125,0.241935484,0
1.22873E-3,19.035443956,0.278949416,0.31,0.241935484,0
1.24531E-3,19.28383474,0.281654557,0.3075,0.241935484,0
1.26857E-3,19.537535197,0.285412494,0.305,0.241935484,0
1.27659E-3,19.792284055,0.28669992,0.3025,0.241935484,0
1.27967E-3,20.047921854,0.287193529,0.3,0.241935484,0
1.28693E-3,20.304682266,0.288352872,0.2975,0.241935484,0
1.29828E-3,20.563673326,0.290157511,0.295,0.258064516,0
1.32582E-3,20.828625891,0.294499787,0.2925,0.258064516,0
1.34704E-3,21.096589499,0.297809937,0.29,0.258064516,0
1.35606E-3,21.367316757,0.299207667,0.2875,0.258064516,0
1.35954E-3,21.503271166,0.299745893,0.28625,0.258064516,0
1.3994E-3,21.782266399,0.305845499,0.28375,0.258064516,0
1.40361E-3,22.062701501,0.306484302,0.28125,0.258064516,0
1.45382E-3,22.3504754,0.314004219,0.27875,0.258064516,0
1.48598E-3,22.647357905,0.318736183,0.27625,0.274193548,0
1.49581E-3,22.79693899,0.320170324,0.275,0.274193548,0
1.51485E-3,23.099768361,0.322929626,0.2725,0.274193548,0
1.51685E-3,23.251452888,0.323217407,0.27125,0.274193548,0
1.52452E-3,23.556194112,0.324322487,0.26875,0.274193548,0
1.53217E-3,23.862270292,0.325420666,0.26625,0.274193548,0
1.5349E-3,24.000936427,0.325811124,0.265,0.274193548,0
1.53998E-3,24.323777272,0.326537256,0.2625,0.290322581,0
1.56308E-3,24.634108302,0.329820017,0.26,0.290322581,0
1.56428E-3,24.790536119,0.329989373,0.25875,0.290322581,0
1.58209E-3,25.106514319,0.332498179,0.25625,0.290322581,0
1.58613E-3,25.265127178,0.33306356,0.255,0.290322581,0
1.59901E-3,25.584058817,0.334862769,0.2525,0.290322581,0
1.60951E-3,25.904910373,0.336321362,0.25,0.290322581,0
1.61915E-3,26.066825085,0.337655858,0.24875,0.290322581,0
1.64739E-3,26.395149792,0.341533973,0.24625,0.290322581,0
1.64901E-3,26.560050522,0.341754765,0.245,0.290322581,0
1.65528E-3,26.872452101,0.342609906,0.2425,0.290322581,0
1.66548E-3,27.05753192,0.343994622,0.24125,0.306451613,0
1.68232E-3,27.392862708,0.346268591,0.23875,0.306451613,0
1.68388E-3,27.561250853,0.346478178,0.2375,0.306451613,0
1.70918E-3,27.901906964,0.349862167,0.235,0.306451613,0
1.70985E-3,28.072891712,0.349951266,0.23375,0.306451613,0
1.72324E-3,28.416430373,0.351728,0.23125,0.306451613,0
1.73458E-3,28.589887908,0.353224599,0.23,0.306451613,0
1.75568E-3,28.765455934,0.355992386,0.22875,0.322580645,0
1.76423E-3,29.117829275,0.357107401,0.22625,0.322580645,0
1.79235E-3,29.297064333,0.36074556,0.225,0.322580645,0
1.80681E-3,29.65703566,0.362600591,0.2225,0.322580645,0
1.80683E-3,29.837718648,0.362603089,0.22125,0.322580645,0
1.80841E-3,30.018559726,0.362805245,0.22,0.322580645,0
1.82652E-3,30.383271896,0.365111496,0.2175,0.338709677,0
1.83384E-3,30.566655615,0.366039125,0.21625,0.338709677,0
1.83931E-3,30.75058682,0.366731161,0.215,0.338709677,0
1.85044E-3,31.119878436,0.368133339,0.2125,0.338709677,0
1.85066E-3,31.304944072,0.36816031,0.21125,0.338709677,0
1.86927E-3,31.677822691,0.370491413,0.20875,0.338709677,0
1.87233E-3,31.865055724,0.370872924,0.2075,0.338709677,0
1.88539E-3,32.05359517,0.372496748,0.20625,0.338709677,0
1.91555E-3,32.43488341,0.376213041,0.20375,0.338709677,0
1.93558E-3,32.628441262,0.378657267,0.2025,0.338709677,0
1.93685E-3,32.822126405,0.378811955,0.20125,0.338709677,0
1.97752E-3,33.019878312,0.38371379,0.2,0.338709677,0
1.99102E-3,33.41734065,0.385323912,0.1975,0.338709677,0
2.00773E-3,33.618114149,0.387306038,0.19625,0.338709677,0
2.0153E-3,33.81964438,0.388199137,0.195,0.338709677,0
2.0251E-3,34.022153914,0.38935106,0.19375,0.338709677,0
2.04171E-3,34.430154545,0.391295133,0.19125,0.338709677,0
2.04922E-3,34.635076086,0.39216981,0.19,0.338709677,0
2.06776E-3,34.807833084,0.394319686,0.18875,0.338709677,0
2.07341E-3,35.049562254,0.394970886,0.1875,0.35483871,0
2.0747E-3,35.25703187,0.395119446,0.18625,0.35483871,0
2.0819E-3,35.673161594,0.395948143,0.18375,0.35483871,0
2.09021E-3,35.882183047,0.396901857,0.1825,0.35483871,0
2.10417E-3,36.092599804,0.398495534,0.18125,0.35483871,0
2.10863E-3,36.303462567,0.399003173,0.18,0.35483871,0
2.11389E-3,36.514851668,0.399601146,0.17875,0.35483871,0
2.12631E-3,36.938977399,0.401007889,0.17625,0.35483871,0
2.14062E-3,37.153039694,0.402619884,0.175,0.35483871,0
2.14062E-3,37.36710217,0.402620087,0.17375,0.35483871,0
2.15686E-3,37.582787777,0.40443826,0.1725,0.35483871,0
2.16023E-3,37.798810689,0.404814709,0.17125,0.35483871,0
2.1664E-3,38.015451017,0.405502544,0.17,0.35483871,0
2.18295E-3,38.362459271,0.407337603,0.1675,0.35483871,0
2.19696E-3,38.671575222,0.408883801,0.16625,0.370967742,0
2.2041E-3,38.89198529,0.409667994,0.165,0.370967742,0
2.21394E-3,39.113378929,0.410745227,0.16375,0.370967742,0
2.22927E-3,39.336306218,0.412417099,0.1625,0.370967742,0
2.23048E-3,39.559354093,0.41254815,0.16125,0.370967742,0
2.23381E-3,39.782735227,0.412910029,0.16,0.370967742,0
2.23645E-3,40.006380536,0.413196574,0.15875,0.370967742,0
2.26068E-3,40.457452578,0.415811661,0.15625,0.370967742,0
2.26562E-3,40.521670665,0.416341328,0.155,0.370967742,0
2.28545E-3,40.91381565,0.418460425,0.15375,0.387096774,0
2.28977E-3,41.142792935,0.418920848,0.1525,0.387096774,0
2.32144E-3,41.374937328,0.42226841,0.15125,0.387096774,0
2.3255E-3,41.607487734,0.422694769,0.15,0.387096774,0
2.35446E-3,41.842933867,0.425717455,0.14875,0.419354839,0
2.35531E-3,42.078464833,0.42580553,0.1475,0.419354839,0
2.37495E-3,42.28472036,0.427836593,0.14625,0.419354839,0
2.38015E-3,42.554274992,0.428372989,0.145,0.435483871,0
2.40567E-3,42.794842432,0.430986516,0.14375,0.435483871,0
2.4086E-3,43.035702016,0.431284175,0.1425,0.435483871,0
2.45139E-3,43.280840986,0.435608927,0.14125,0.451612903,0
2.45396E-3,43.526236603,0.435866205,0.14,0.451612903,0
2.45534E-3,43.771770718,0.436004946,0.13875,0.451612903,0
2.48362E-3,44.020132337,0.43882257,0.1375,0.451612903,0
