Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.14385E-8,0.000009144,0.000028871,1,0,0
9.19581E-8,0.00001834,0.000029035,0.99875,0,0
9.92617E-8,0.000028266,0.000031341,0.9975,0,0
6.38732E-7,0.000092139,0.000201638,0.99625,0,0
7.13899E-7,0.000163529,0.000225361,0.995,0,0
9.93699E-7,0.000262899,0.00031366,0.99375,0,0
2.51076E-6,0.000740824,0.00079214,0.99125,0,0
4.44089E-6,0.001184913,0.001400238,0.99,0,0
6.27321E-6,0.002883632,0.001976838,0.98625,0,0
7.68485E-6,0.005672985,0.002420602,0.98125,0,0
1.11775E-5,0.010718707,0.003516866,0.975,0,0
1.51205E-5,0.025279369,0.004751585,0.96125,0,0
1.89272E-5,0.051030459,0.005940719,0.9425,0,0
2.47377E-5,0.101591854,0.007750335,0.91375,0,0
4.3132E-5,0.202704215,0.013435864,0.87625,0,0
5.61913E-5,0.302210474,0.017433001,0.85125,0.016129032,0
6.50894E-5,0.400133484,0.020137979,0.83125,0.016129032,0
7.58984E-5,0.505692613,0.023403925,0.8125,0.016129032,0
8.45144E-5,0.602358962,0.025991662,0.7975,0.016129032,0
9.83963E-5,0.7058212,0.030132292,0.78375,0.016129032,0
1.0014E-4,0.755567749,0.030649904,0.7775,0.016129032,0
1.07001E-4,0.807774078,0.032681319,0.77125,0.016129032,0
1.11147E-4,0.906047715,0.033904536,0.76,0.016129032,0
1.16321E-4,1.00770878,0.035427102,0.74875,0.016129032,0
1.21786E-4,1.102695738,0.037029696,0.73875,0.016129032,0
1.26394E-4,1.202341822,0.038377124,0.72875,0.016129032,0
1.3303E-4,1.307429221,0.040310639,0.71875,0.016129032,0
1.37641E-4,1.403081568,0.041649804,0.71,0.016129032,0
1.47393E-4,1.504022411,0.044469563,0.70125,0.032258065,0
1.65233E-4,1.753290957,0.049585138,0.68125,0.032258065,0
1.86771E-4,2.017808418,0.055688401,0.6625,0.032258065,0
2.04917E-4,2.270225548,0.060770106,0.64625,0.032258065,0
2.33975E-4,2.512674407,0.068794796,0.6325,0.032258065,0
2.59257E-4,2.761534726,0.075665814,0.62,0.032258065,0
2.88576E-4,3.005131673,0.083508282,0.60875,0.032258065,0
3.18213E-4,3.278796052,0.091301587,0.5975,0.032258065,0
3.40388E-4,3.510746635,0.097046552,0.58875,0.032258065,0
3.58099E-4,3.756077099,0.101583248,0.58,0.032258065,0
3.85021E-4,4.015851654,0.108392453,0.57125,0.032258065,0
4.05738E-4,4.252142034,0.113562341,0.56375,0.032258065,0
4.2695E-4,4.541609819,0.118794164,0.555,0.032258065,0
4.4726E-4,4.760545435,0.123746043,0.54875,0.048387097,0
4.69614E-4,5.038062486,0.129132165,0.54125,0.048387097,0
4.77638E-4,5.275235478,0.13104922,0.535,0.048387097,0
5.05676E-4,5.526002913,0.137683016,0.52875,0.080645161,0
5.45859E-4,5.794690674,0.147015262,0.5225,0.080645161,0
5.54977E-4,6.015138893,0.149104779,0.5175,0.080645161,0
5.84503E-4,6.301124933,0.155801614,0.51125,0.080645161,0
5.9032E-4,6.536501552,0.157108645,0.50625,0.080645161,0
5.95262E-4,6.774106549,0.158215859,0.50125,0.080645161,0
6.09043E-4,7.015512371,0.161287904,0.49625,0.080645161,0
6.11469E-4,7.259519817,0.161826446,0.49125,0.080645161,0
6.31687E-4,7.508295713,0.166287315,0.48625,0.080645161,0
6.41126E-4,7.764523134,0.168353853,0.48125,0.080645161,0
6.48178E-4,8.022648196,0.169890918,0.47625,0.096774194,0
6.66483E-4,8.285799243,0.173854682,0.47125,0.096774194,0
6.81553E-4,8.557143994,0.177089553,0.46625,0.096774194,0
