X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
4293637.33739542,2512320.47273348,train,0.0016795217515396762,33.52848782920281,0.46209920906308377
4349784.89991101,2408135.90992422,train,0.011111058434439703,95.70835281079515,0.8503739806138335
4488717.00100696,2560160.23462593,train,0.00105773277335139,13.127889412188702,0.35108442764913
4322481.19923334,2447099.9695185,train,0.02379821446081304,100.0,0.9240862048622416
4325211.19064204,2446021.19929051,train,0.005999006433951017,89.04871128804076,0.7542094282140157
4473063.68332616,2478305.96256181,train,0.013609503129989976,96.64703886652244,0.87439220343311
4418024.18406858,2596584.27755639,train,0.001054767773520187,13.09666757870594,0.35044516976146556
4358668.62499714,2464678.88310534,train,0.00504627328539416,87.4750019595203,0.7207623767714759
4390073.196846,2535287.0085874,train,0.0017507202406510129,45.61133161442274,0.4724338943474288
4339275.44770158,2496855.86038352,train,0.0025852528268001133,75.52035417341638,0.5694039484287289
4339289.08638342,2496868.66625616,train,0.0025852528268001133,75.52035417341638,0.5694039484287289
4452423.99719797,2422626.74042147,train,0.0017068444095925965,37.60817607137268,0.4661126985577136
4355710.17578692,2446045.86206339,train,0.0023764387178849583,73.61497935591927,0.5486454910211774
4618089.54357813,2499776.78987638,train,0.0018011919814677835,56.694154980327724,0.4795227209779051
4427888.09302467,2251074.85008215,train,0.0018144214086756383,58.75139110445126,0.4813494120267022
4342892.11541541,2441318.94407335,train,0.01661031337089437,99.08673763296324,0.8946948302745198
4342882.72889908,2441319.35297051,train,0.01661031337089437,99.08673763296324,0.8946948302745198
4473065.02239875,2478286.7923182,train,0.013609503129989976,96.64703886652244,0.87439220343311
4141533.33324387,2462190.33330871,train,0.0017567576476543553,46.53057827197448,0.4732920076963225
4618114.3098207,2499773.05253195,train,0.0018011919814677835,56.694154980327724,0.4795227209779051
4473068.10796323,2478295.19847806,train,0.013609503129989976,96.64703886652244,0.87439220343311
4414899.29910304,2288534.78657047,train,0.0018631499580873561,60.9330858888237,0.4879685646015576
4091058.65890571,2289435.55785402,train,0.010081204552066455,95.32143611631138,0.8375715560301717
4473071.49361883,2478297.83982242,train,0.013609503129989976,96.64703886652244,0.87439220343311
4103689.80808498,2318337.57718849,train,0.0015155577993768556,23.945046330649642,0.4366866737120453
4473069.8566333,2478306.90022444,train,0.013609503129989976,96.64703886652244,0.87439220343311
4292489.6982611,2415461.61683961,train,0.001683013957411219,34.06540814714538,0.4626155475858091
4318617.78270723,2398755.14547656,train,0.0015503779468790887,25.212547038655025,0.44228222049453664
4394259.8441271,2381459.61457024,train,0.0051883330037424584,87.53721134122173,0.7263155649512086
4476756.68263732,2363076.76314988,train,0.001734123394941358,42.35475555416732,0.4700604657454603
4473057.74088617,2478308.36127051,train,0.013609503129989976,96.64703886652244,0.87439220343311
4273601.29380924,2532102.4980897,train,6.747156796237299E-4,7.490237280479834,0.25657106309604255
4316373.88625815,2578538.19142439,train,1.2853413210814249E-4,0.19663699578281807,0.061689660600147085
4439230.56211116,2230291.20828075,train,0.0026332844304648973,75.94608339542194,0.5739115374697653
4364951.11700719,2241495.72664611,train,0.0045513042499708296,87.25825898002822,0.6995193770089558
4589273.73274098,2232806.93482171,train,0.00159854998299676,27.50000864894194,0.4498426045534511
4580476.51974302,2269028.85748367,train,0.0015006607720254729,23.128610207862003,0.43425830158131196
4420132.01624708,2305318.55505032,train,0.0017571155655789368,46.595230458694154,0.47334279191778034
4533513.06859391,2290496.33255223,train,0.0011465773344727084,14.591659572037917,0.36967243152269263
4372921.33024821,2262611.7719423,train,0.0017724908089884672,50.35351168785254,0.47551514489814123
4389504.57897495,2451292.97802949,train,0.0031591368882206957,80.49639517088374,0.6177231366869267
4173267.99572544,2497153.64758769,train,0.0017651106536917397,47.62229859396201,0.4744746510148471
4322573.44073612,2456441.6630607,train,0.0020877839656935084,66.63775333398014,0.5164189908006607
4094046.52728758,2316534.02534128,train,0.0017621541707171773,47.379329958421856,0.4740566711010699
4347477.46895147,2518648.67890838,train,4.435582767862346E-4,5.5263880805434304,0.18492501470897174
4404058.01307618,2481443.87083935,train,0.004733290819081503,87.33794944224644,0.7076953407365837
4214865.41338422,2415235.26352753,train,0.0036198854460427967,83.79281123470568,0.6493170925061441
4492980.75178849,2524470.15264624,train,0.001762538823165673,47.41094045278409,0.47411108989021555
4189451.97674959,2557834.13967788,train,0.002265868727314932,71.02313643774636,0.5368218696790967
4302584.42642844,2346661.33942496,train,0.0016805376622611578,33.67762014650457,0.462249518394871
4126461.34772195,2375309.25569212,train,0.0013461639048871605,19.438184247618462,0.40778138985662354
4414670.51161624,2554872.37872747,train,0.0010426512199380664,12.965941239014086,0.3478196818582469
4225993.01172753,2568219.04283096,train,0.0010886361161049419,13.654982382065427,0.3576730889438226
4210019.89595971,2497447.56441742,train,0.0017903282510610319,54.55519212971509,0.478013030811657
4526880.55958804,2557791.67155364,train,0.0017533144207847334,45.85609213045758,0.4728029546998128
4115491.71263426,2453377.61779892,train,9.089878873258821E-4,10.738886757797053,0.31738247346665255
4243654.02548858,2436978.1196776,train,0.0031680128301952754,80.55260109604815,0.6183854520062976
4178412.74351878,2414891.69400259,train,0.0023954506310576583,73.73303311053532,0.5506179443847811
4624957.3294705,2455426.47384029,train,0.0015701769896276985,27.141953901459875,0.4454146010817626
4191976.87836514,2494488.95666808,train,0.001786360907720132,53.79060338276417,0.4774595191206016
4309314.4442123,2516380.09790216,train,0.0010596077905045812,13.147633586444021,0.35148803479261376
