Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
8.67083E-5,0.008670825,0.042467938,1,0,0
1.06941E-4,0.019364958,0.051863727,0.99875,0,0
1.07302E-4,0.030095109,0.052029322,0.9975,0,0
1.11994E-4,0.052214321,0.054181466,0.995,0,0
1.15577E-4,0.109517361,0.055818152,0.98875,0,0
1.30161E-4,0.207575538,0.062421916,0.97875,0.016393443,0
1.35715E-4,0.300355438,0.064912517,0.97,0.016393443,0
1.41935E-4,0.411274843,0.06768588,0.96,0.016393443,0
1.44356E-4,0.512008094,0.068761064,0.95125,0.016393443,0
1.45204E-4,0.613463929,0.069137086,0.9425,0.016393443,0
1.47297E-4,0.701184677,0.070063924,0.935,0.016393443,0
1.48627E-4,0.760490102,0.070652052,0.93,0.016393443,0
1.49265E-4,0.805155307,0.07093359,0.92625,0.016393443,0
1.53969E-4,0.911860057,0.073005915,0.9175,0.016393443,0
1.55293E-4,1.004713808,0.073587332,0.91,0.016393443,0
1.57701E-4,1.11436851,0.074643172,0.90125,0.016393443,0
1.59121E-4,1.209493705,0.075264879,0.89375,0.016393443,0
1.59926E-4,1.305157212,0.075616639,0.88625,0.016393443,0
1.60424E-4,1.41723385,0.0758343,0.8775,0.016393443,0
1.60833E-4,1.513640787,0.076012978,0.87,0.016393443,0
1.6311E-4,1.756901129,0.0770064,0.85125,0.016393443,0
1.664E-4,2.003834967,0.078437643,0.8325,0.016393443,0
1.69633E-4,2.25556623,0.079839932,0.81375,0.016393443,0
1.76642E-4,2.516007383,0.082865748,0.795,0.016393443,0
1.84441E-4,2.751452137,0.086208808,0.77875,0.016393443,0
1.92803E-4,3.016831913,0.08976648,0.76125,0.016393443,0
2.01295E-4,3.254752173,0.093351216,0.74625,0.016393443,0
2.18061E-4,3.508108844,0.100346205,0.73125,0.016393443,0
2.23661E-4,3.750524966,0.10265868,0.7175,0.016393443,0
2.37495E-4,4.005374736,0.108320683,0.70375,0.016393443,0
2.79595E-4,4.269006171,0.125119636,0.69125,0.016393443,0
3.01433E-4,4.504401501,0.133586851,0.68125,0.016393443,0
3.22935E-4,4.753643245,0.14176497,0.67125,0.016393443,0
3.63574E-4,5.030724559,0.156807379,0.66125,0.016393443,0
4.00954E-4,5.260857532,0.170185561,0.65375,0.016393443,0
4.41972E-4,5.518281016,0.184385606,0.64625,0.016393443,0
4.87845E-4,5.752726464,0.199701598,0.64,0.032786885,0
5.33301E-4,6.006097106,0.214321,0.63375,0.032786885,0
5.42754E-4,6.275194513,0.217294578,0.6275,0.032786885,0
5.74825E-4,6.552633939,0.227217061,0.62125,0.032786885,0
6.05115E-4,6.787929659,0.236360085,0.61625,0.032786885,0
6.15093E-4,7.033280106,0.239324689,0.61125,0.032786885,0
6.46407E-4,7.28930635,0.248481107,0.60625,0.032786885,0
6.84314E-4,7.558364776,0.259274658,0.60125,0.049180328,0
6.99807E-4,7.766544035,0.263597257,0.5975,0.049180328,0
7.20944E-4,8.05035949,0.269414186,0.5925,0.049180328,0
7.42324E-4,8.27070102,0.275204952,0.58875,0.049180328,0
7.51434E-4,8.569105134,0.277644686,0.58375,0.049180328,0
7.76309E-4,8.799602687,0.284223205,0.58,0.049180328,0
7.88678E-4,9.034746944,0.287450031,0.57625,0.049180328,0
8.04846E-4,9.273341184,0.291624379,0.5725,0.049180328,0
8.23004E-4,9.517923346,0.296254542,0.56875,0.049180328,0
8.30908E-4,9.765725125,0.298251055,0.565,0.049180328,0
8.55939E-4,10.020880422,0.304500122,0.56125,0.049180328,0
8.81363E-4,10.283336174,0.310734196,0.5575,0.049180328,0
8.88762E-4,10.548857513,0.312527468,0.55375,0.049180328,0
