Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.42738E-11,0.000000002,0.000000004,0.99625,0,0
5.74651E-10,0.00000006,0.000000173,0.995,0,0
1.18566E-8,0.000001245,0.000003579,0.99375,0,0
2.7558E-8,0.000004001,0.000008319,0.9925,0,0
2.54661E-7,0.000034781,0.000076869,0.99,0,0
3.76443E-7,0.000072426,0.000113625,0.98875,0,0
3.84024E-7,0.000110828,0.000115913,0.9875,0,0
5.50093E-7,0.000265521,0.00016603,0.98375,0,0
1.50306E-6,0.000635072,0.000453525,0.98,0,0
2.32777E-6,0.001027522,0.000702196,0.9775,0,0
3.93769E-6,0.002707768,0.001187266,0.97125,0,0
4.94985E-6,0.005285411,0.001491992,0.96375,0,0
6.13096E-6,0.010091357,0.001847349,0.9525,0,0
1.15829E-5,0.02608969,0.003484362,0.93,0.031746032,0
1.62638E-5,0.051555189,0.004885613,0.9075,0.047619048,0
2.48103E-5,0.101800949,0.00743385,0.87625,0.047619048,0
3.9471E-5,0.200368794,0.011774887,0.83625,0.047619048,0
5.33141E-5,0.300605338,0.015839131,0.81,0.047619048,0
6.54898E-5,0.401368253,0.019386301,0.78875,0.063492063,0
7.86417E-5,0.501617457,0.023189241,0.77125,0.063492063,0
9.14417E-5,0.606006139,0.026862206,0.75625,0.079365079,0
1.02718E-4,0.704233377,0.030075242,0.74375,0.079365079,0
1.05294E-4,0.75643491,0.030806105,0.7375,0.079365079,0
1.10039E-4,0.800223753,0.032149762,0.7325,0.079365079,0
1.22061E-4,0.906001074,0.035537447,0.72125,0.079365079,0
1.26208E-4,1.005408494,0.036700435,0.71125,0.079365079,0
1.3304E-4,1.10987995,0.038610327,0.70125,0.079365079,0
1.40758E-4,1.206741709,0.040758921,0.6925,0.079365079,0
1.4518E-4,1.307473911,0.041985732,0.68375,0.079365079,0
1.60205E-4,1.415135174,0.046130548,0.675,0.079365079,0
1.69371E-4,1.514407925,0.048641408,0.6675,0.079365079,0
1.85215E-4,1.76281782,0.052950777,0.65,0.079365079,0
2.08763E-4,2.019905015,0.0592838,0.63375,0.079365079,0
2.29423E-4,2.261341981,0.064770669,0.62,0.079365079,0
