X,Y,Aedes.albopictus_AllData_RUN5 logistic values
4164346.36398261,2341683.96433401,0.18925343
4365982.90386913,2336648.62567363,0.06371692
4467327.64677691,2516545.40969074,0.3945106
4206481.85265154,2461575.53369286,0.40967548
4172939.6989476,2386291.51885051,0.22430423
4122194.96372422,2609857.50612871,0.041262824
4132727.46198224,2327092.40845534,0.13000607
4347430.42198858,2362153.49228113,0.07694272
4391536.80945814,2396097.30793007,0.2721039
4320583.99730909,2341281.70260307,0.4869699
4102957.23434016,2351304.25514378,0.0049924436
4108895.68839149,2413114.26411399,0.33348522
4252827.72648966,2490330.25106936,0.6521259
4500965.38137799,2611608.45953035,0.034589987
4386802.84905901,2249192.21845179,0.23325124
4383536.8024482,2447950.64865427,0.43443263
4406313.09918298,2583010.46138941,0.2556489
4359217.53427033,2474139.56550643,0.64304537
4319931.65153016,2361128.94725207,0.2715724
4222990.2483868,2417518.38084106,0.38279277
4546772.23954301,2259002.79530194,0.10568816
4159632.34448599,2558681.86025503,0.048785098
4501259.72675236,2660430.37110938,0.005058458
4581189.04687153,2570069.6405063,0.24208179
4381676.34196103,2430850.66411321,0.47272727
4425715.19590788,2603487.78876163,0.39152682
4432663.82892524,2412946.46570946,0.3829763
4395445.94232019,2230892.16300025,0.2698856
4546573.81138988,2624342.47852663,0.07466636
4478225.4899631,2436532.77139146,0.29748258
4062048.57945296,2292850.81443016,0.6008766
4267086.02652349,2390401.57839795,0.24330899
4173697.55580455,2435280.29025465,0.32714683
4451906.92508383,2567670.48391921,0.07797206
4504164.05471881,2603631.25038248,0.12005069
4055224.82729591,2277415.0282582,0.13824719
4455555.29359566,2497234.54923091,0.45373234
4282985.54220878,2660405.21938721,0.10472378
4069895.28662775,2477222.25766568,0.016365277
4231637.21202945,2556621.98321719,0.13445926
4101261.31242265,2351891.9522074,0.0052065356
4286517.34155425,2521699.41844852,0.41419557
4320403.63319119,2405120.76026058,0.27936628
4440705.15766957,2505201.51341713,0.27596086
4452178.96008703,2352655.00520948,0.78794146
4107043.14550165,2590331.03075907,0.01138543
4193972.35883424,2607053.95744329,0.03088053
4309584.4927543,2337939.38337803,0.21457106
4432560.5308298,2547893.23402013,0.2919557
4393809.15460115,2605741.65464668,0.011079365
4521280.16820738,2250824.73901876,0.20729144
4253385.94447205,2464257.73888354,0.29039374
4384469.40425134,2537575.80464694,0.29248667
4528583.99580154,2561541.25613517,0.40858424
4131744.96492334,2613706.55194698,0.0068298425
4124443.87495081,2609624.32673964,0.011553273
4301484.24671648,2608653.32827295,0.023076797
4064856.72637914,2631178.19232977,0.18546845
4377800.61012484,2454607.50571781,0.294306
4455384.82291344,2597088.02730688,0.06404264
4290040.93249706,2634884.93431239,0.027861264
4099916.02163967,2506234.49348605,0.014996784
4328735.5522668,2394798.27232492,0.31809738
4207194.34552726,2644558.10577496,0.019830892
4181633.96489158,2435845.52853602,0.32029462
4155378.61597508,2629014.33243064,0.013319135
4571318.50725583,2289272.88241383,0.3400093
4164519.70658491,2363100.18664536,0.3034201
4546997.74388331,2611461.12911386,0.019776653
4084348.19477006,2370586.6757953,0.014228489
4616369.02360222,2590656.62309223,0.075296775
4530310.75277887,2592116.83691384,0.06771958
4619021.9923264,2486010.01291195,0.3520633
4228638.98110344,2621516.20724586,0.003853727
4102279.72962405,2509396.11183152,0.0417598
4121658.65500482,2392783.58082269,0.40528032
4444143.32137483,2594876.98919951,0.035063352
4606536.54485729,2251550.97540581,0.4938174
4470304.11529057,2588874.1297928,0.051074278
4132783.70272593,2572152.40762,0.037935372
4471194.55651506,2347133.85407025,0.5439154
4122969.83247844,2546759.40778583,0.0024695427
4285113.46294735,2544452.12685815,0.099891834
4333833.58886191,2431766.5213096,0.33881256
4196702.40155259,2411026.03494977,0.35582212
4633046.8789768,2449389.32287186,0.35414255
4113449.18897045,2299914.1317934,0.44503275
4406509.42838692,2255224.435928,0.3585683
4455771.93108044,2309424.91031541,0.113101795
4548225.45169889,2608559.27308225,0.100045204
4356639.10190679,2443268.23972001,0.7640292
4483382.62477983,2270390.65837033,0.33666474
4225937.79871291,2598551.45553343,0.1392317
4386316.00599611,2622346.95990295,0.020398382
4118201.9394816,2596302.06618828,0.007378532
